Avg Acc,Avg Acc Dif,Avg Errors,Avg Error Rate,Threshold,Lower Hue,Upper Hue,Pixel Size
0.808,0.192,6.000,0.238,MaxEntropy,50,109,100
0.773,0.227,6.333,0.250,MaxEntropy,50,109,110
0.748,0.252,7.000,0.275,MaxEntropy,50,109,120
0.708,0.292,8.000,0.315,MaxEntropy,50,109,130
0.848,0.152,6.333,0.254,MaxEntropy,50,113,100
0.813,0.187,6.000,0.243,MaxEntropy,50,113,110
0.772,0.228,6.333,0.251,MaxEntropy,50,113,120
0.720,0.280,7.667,0.303,MaxEntropy,50,113,130
0.708,0.292,8.000,0.315,MaxEntropy,58,109,100
0.626,0.374,10.000,0.397,MaxEntropy,58,109,110
0.589,0.411,11.000,0.434,MaxEntropy,58,109,120
0.495,0.505,13.333,0.528,MaxEntropy,58,109,130
0.731,0.269,7.333,0.292,MaxEntropy,58,113,100
0.666,0.334,9.000,0.357,MaxEntropy,58,113,110
0.601,0.399,10.667,0.422,MaxEntropy,58,113,120
0.536,0.464,12.333,0.487,MaxEntropy,58,113,130
0.448,0.552,14.667,0.575,MaxEntropy,66,109,100
0.396,0.604,16.000,0.627,MaxEntropy,66,109,110
0.343,0.657,17.333,0.680,MaxEntropy,66,109,120
0.291,0.709,18.667,0.732,MaxEntropy,66,109,130
0.483,0.517,14.333,0.563,MaxEntropy,66,113,100
0.424,0.576,15.333,0.599,MaxEntropy,66,113,110
0.388,0.612,16.333,0.635,MaxEntropy,66,113,120
0.349,0.651,17.333,0.674,MaxEntropy,66,113,130
0.292,0.708,18.667,0.731,MaxEntropy,74,109,100
0.269,0.731,19.333,0.754,MaxEntropy,74,109,110
0.221,0.779,20.000,0.779,MaxEntropy,74,109,120
0.186,0.814,21.000,0.814,MaxEntropy,74,109,130
0.326,0.674,18.000,0.697,MaxEntropy,74,113,100
0.309,0.691,18.333,0.714,MaxEntropy,74,113,110
0.285,0.715,19.000,0.738,MaxEntropy,74,113,120
0.261,0.739,19.667,0.762,MaxEntropy,74,113,130
1.268,0.268,9.667,0.382,Moments,50,109,100
1.245,0.245,9.000,0.359,Moments,50,109,110
1.134,0.134,7.000,0.273,Moments,50,109,120
1.093,0.093,6.667,0.256,Moments,50,109,130
1.315,0.315,11.000,0.429,Moments,50,113,100
1.257,0.257,9.333,0.371,Moments,50,113,110
1.188,0.188,8.333,0.327,Moments,50,113,120
1.138,0.138,7.667,0.302,Moments,50,113,130
1.005,0.063,9.000,0.344,Moments,58,109,100
0.939,0.130,9.333,0.352,Moments,58,109,110
0.870,0.176,9.667,0.363,Moments,58,109,120
0.795,0.205,9.667,0.369,Moments,58,109,130
1.071,0.071,10.667,0.409,Moments,58,113,100
0.968,0.101,10.000,0.381,Moments,58,113,110
0.928,0.118,11.000,0.421,Moments,58,113,120
0.858,0.165,10.000,0.385,Moments,58,113,130
0.721,0.279,15.000,0.559,Moments,66,109,100
0.575,0.425,15.333,0.587,Moments,66,109,110
0.552,0.448,16.000,0.611,Moments,66,109,120
0.504,0.496,16.000,0.611,Moments,66,109,130
0.803,0.197,15.667,0.593,Moments,66,113,100
0.681,0.319,15.333,0.587,Moments,66,113,110
0.632,0.368,16.000,0.612,Moments,66,113,120
0.527,0.473,16.000,0.611,Moments,66,113,130
0.492,0.508,17.667,0.670,Moments,74,109,100
0.422,0.578,18.333,0.693,Moments,74,109,110
0.399,0.601,18.333,0.693,Moments,74,109,120
0.354,0.646,18.667,0.715,Moments,74,109,130
0.552,0.448,18.000,0.683,Moments,74,113,100
0.492,0.508,17.667,0.670,Moments,74,113,110
0.458,0.542,18.667,0.705,Moments,74,113,120
0.394,0.606,18.333,0.698,Moments,74,113,130
1.453,0.453,13.000,0.509,Otsu,50,109,100
1.372,0.372,12.333,0.486,Otsu,50,109,110
1.361,0.361,12.000,0.475,Otsu,50,109,120
1.256,0.256,9.333,0.370,Otsu,50,109,130
1.539,0.539,15.333,0.595,Otsu,50,113,100
1.407,0.407,13.333,0.521,Otsu,50,113,110
1.383,0.383,12.667,0.497,Otsu,50,113,120
1.332,0.332,11.333,0.446,Otsu,50,113,130
1.105,0.105,11.667,0.443,Otsu,58,109,100
1.022,0.047,10.000,0.385,Otsu,58,109,110
0.989,0.080,9.333,0.352,Otsu,58,109,120
0.907,0.139,10.000,0.376,Otsu,58,109,130
1.221,0.221,14.000,0.535,Otsu,58,113,100
1.132,0.132,13.000,0.495,Otsu,58,113,110
1.076,0.109,11.667,0.439,Otsu,58,113,120
0.976,0.116,11.667,0.444,Otsu,58,113,130
0.798,0.202,15.000,0.564,Otsu,66,109,100
0.705,0.295,15.333,0.578,Otsu,66,109,110
0.628,0.372,16.000,0.607,Otsu,66,109,120
0.568,0.432,15.667,0.594,Otsu,66,109,130
0.926,0.166,17.667,0.667,Otsu,66,113,100
0.808,0.238,18.000,0.681,Otsu,66,113,110
0.721,0.279,16.333,0.618,Otsu,66,113,120
0.673,0.327,17.000,0.641,Otsu,66,113,130
0.540,0.460,18.333,0.695,Otsu,74,109,100
0.493,0.507,19.000,0.717,Otsu,74,109,110
0.435,0.565,18.667,0.705,Otsu,74,109,120
0.399,0.601,18.333,0.693,Otsu,74,109,130
0.643,0.357,19.000,0.717,Otsu,74,113,100
0.575,0.425,19.333,0.729,Otsu,74,113,110
0.506,0.494,19.333,0.729,Otsu,74,113,120
0.469,0.531,19.000,0.716,Otsu,74,113,130
5.792,4.792,129.667,4.814,Triangle,50,109,100
5.224,4.224,115.000,4.280,Triangle,50,109,110
4.743,3.743,102.000,3.800,Triangle,50,109,120
4.319,3.319,90.667,3.375,Triangle,50,109,130
5.976,4.976,134.000,4.999,Triangle,50,113,100
5.442,4.442,120.333,4.499,Triangle,50,113,110
5.000,4.000,108.333,4.057,Triangle,50,113,120
