ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10001_1.1_01_ARC1,24,5,2,29,26,3,3,0.897,0.103,7,0.241,MaxEntropy,50,109,100
10001_1.1_01_ARC1,23,6,1,29,24,5,5,0.828,0.172,7,0.241,MaxEntropy,50,109,110
10001_1.1_01_ARC1,23,6,1,29,24,5,5,0.828,0.172,7,0.241,MaxEntropy,50,109,120
10001_1.1_01_ARC1,22,7,1,29,23,6,6,0.793,0.207,8,0.276,MaxEntropy,50,109,130
10001_1.1_01_ARC1,25,4,3,29,28,1,1,0.966,0.034,7,0.241,MaxEntropy,50,113,100
10001_1.1_01_ARC1,24,5,1,29,25,4,4,0.862,0.138,6,0.207,MaxEntropy,50,113,110
10001_1.1_01_ARC1,24,5,1,29,25,4,4,0.862,0.138,6,0.207,MaxEntropy,50,113,120
10001_1.1_01_ARC1,22,7,1,29,23,6,6,0.793,0.207,8,0.276,MaxEntropy,50,113,130
10001_1.1_01_ARC1,22,7,1,29,23,6,6,0.793,0.207,8,0.276,MaxEntropy,58,109,100
10001_1.1_01_ARC1,21,8,1,29,22,7,7,0.759,0.241,9,0.310,MaxEntropy,58,109,110
10001_1.1_01_ARC1,21,8,1,29,22,7,7,0.759,0.241,9,0.310,MaxEntropy,58,109,120
10001_1.1_01_ARC1,19,10,1,29,20,9,9,0.690,0.310,11,0.379,MaxEntropy,58,109,130
10001_1.1_01_ARC1,24,5,1,29,25,4,4,0.862,0.138,6,0.207,MaxEntropy,58,113,100
10001_1.1_01_ARC1,22,7,1,29,23,6,6,0.793,0.207,8,0.276,MaxEntropy,58,113,110
10001_1.1_01_ARC1,21,8,1,29,22,7,7,0.759,0.241,9,0.310,MaxEntropy,58,113,120
10001_1.1_01_ARC1,20,9,1,29,21,8,8,0.724,0.276,10,0.345,MaxEntropy,58,113,130
10001_1.1_01_ARC1,17,12,1,29,18,11,11,0.621,0.379,13,0.448,MaxEntropy,66,109,100
10001_1.1_01_ARC1,15,14,1,29,16,13,13,0.552,0.448,15,0.517,MaxEntropy,66,109,110
10001_1.1_01_ARC1,14,15,1,29,15,14,14,0.517,0.483,16,0.552,MaxEntropy,66,109,120
10001_1.1_01_ARC1,12,17,1,29,13,16,16,0.448,0.552,18,0.621,MaxEntropy,66,109,130
10001_1.1_01_ARC1,18,11,2,29,20,9,9,0.690,0.310,13,0.448,MaxEntropy,66,113,100
10001_1.1_01_ARC1,16,13,1,29,17,12,12,0.586,0.414,14,0.483,MaxEntropy,66,113,110
10001_1.1_01_ARC1,14,15,1,29,15,14,14,0.517,0.483,16,0.552,MaxEntropy,66,113,120
10001_1.1_01_ARC1,12,17,1,29,13,16,16,0.448,0.552,18,0.621,MaxEntropy,66,113,130
10001_1.1_01_ARC1,10,19,1,29,11,18,18,0.379,0.621,20,0.690,MaxEntropy,74,109,100
10001_1.1_01_ARC1,9,20,1,29,10,19,19,0.345,0.655,21,0.724,MaxEntropy,74,109,110
10001_1.1_01_ARC1,8,21,0,29,8,21,21,0.276,0.724,21,0.724,MaxEntropy,74,109,120
10001_1.1_01_ARC1,6,23,0,29,6,23,23,0.207,0.793,23,0.793,MaxEntropy,74,109,130
10001_1.1_01_ARC1,10,19,1,29,11,18,18,0.379,0.621,20,0.690,MaxEntropy,74,113,100
10001_1.1_01_ARC1,10,19,1,29,11,18,18,0.379,0.621,20,0.690,MaxEntropy,74,113,110
10001_1.1_01_ARC1,9,20,1,29,10,19,19,0.345,0.655,21,0.724,MaxEntropy,74,113,120
10001_1.1_01_ARC1,8,21,1,29,9,20,20,0.310,0.690,22,0.759,MaxEntropy,74,113,130
10001_1.1_01_ARC1,28,1,11,29,39,-10,10,1.345,0.345,12,0.414,Moments,50,109,100
10001_1.1_01_ARC1,28,1,9,29,37,-8,8,1.276,0.276,10,0.345,Moments,50,109,110
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,50,109,120
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,50,109,130
10001_1.1_01_ARC1,28,1,14,29,42,-13,13,1.448,0.448,15,0.517,Moments,50,113,100
10001_1.1_01_ARC1,28,1,10,29,38,-9,9,1.310,0.310,11,0.379,Moments,50,113,110
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,50,113,120
10001_1.1_01_ARC1,28,1,8,29,36,-7,7,1.241,0.241,9,0.310,Moments,50,113,130
10001_1.1_01_ARC1,24,5,8,29,32,-3,3,1.103,0.103,13,0.448,Moments,58,109,100
