Avg Acc,Avg Acc Dif,Avg Errors,Avg Error Rate,Threshold,Lower Hue,Upper Hue,Pixel Size
1.112,0.112,5.667,0.226,MaxEntropy,50,109,100
1.059,0.059,4.333,0.173,MaxEntropy,50,109,110
1.035,0.035,3.667,0.150,MaxEntropy,50,109,120
1.007,0.041,3.000,0.121,MaxEntropy,50,109,130
1.129,0.129,6.000,0.243,MaxEntropy,50,113,100
1.095,0.095,5.333,0.210,MaxEntropy,50,113,110
1.083,0.083,5.000,0.197,MaxEntropy,50,113,120
1.043,0.076,4.000,0.157,MaxEntropy,50,113,130
0.966,0.057,4.667,0.184,MaxEntropy,58,109,100
0.942,0.058,4.667,0.185,MaxEntropy,58,109,110
0.865,0.135,4.667,0.182,MaxEntropy,58,109,120
0.841,0.159,5.333,0.206,MaxEntropy,58,109,130
0.995,0.028,5.333,0.213,MaxEntropy,58,113,100
0.978,0.045,5.000,0.196,MaxEntropy,58,113,110
0.942,0.058,5.333,0.210,MaxEntropy,58,113,120
0.889,0.111,5.333,0.206,MaxEntropy,58,113,130
0.812,0.188,8.000,0.304,MaxEntropy,66,109,100
0.776,0.224,9.000,0.340,MaxEntropy,66,109,110
0.724,0.276,9.667,0.369,MaxEntropy,66,109,120
0.677,0.323,10.333,0.393,MaxEntropy,66,109,130
0.887,0.136,8.667,0.333,MaxEntropy,66,113,100
0.812,0.188,9.333,0.353,MaxEntropy,66,113,110
0.771,0.229,10.333,0.393,MaxEntropy,66,113,120
0.747,0.253,9.667,0.369,MaxEntropy,66,113,130
0.571,0.429,12.333,0.475,MaxEntropy,74,109,100
0.523,0.477,13.667,0.523,MaxEntropy,74,109,110
0.447,0.553,15.000,0.576,MaxEntropy,74,109,120
0.330,0.670,17.333,0.670,MaxEntropy,74,109,130
0.693,0.307,11.667,0.447,MaxEntropy,74,113,100
0.634,0.366,12.667,0.482,MaxEntropy,74,113,110
0.575,0.425,13.667,0.519,MaxEntropy,74,113,120
0.422,0.578,15.667,0.601,MaxEntropy,74,113,130
1.334,0.334,11.000,0.425,Moments,50,109,100
1.294,0.294,10.000,0.385,Moments,50,109,110
1.242,0.242,9.333,0.356,Moments,50,109,120
1.154,0.154,7.000,0.268,Moments,50,109,130
1.461,0.461,13.667,0.527,Moments,50,113,100
1.351,0.351,11.333,0.442,Moments,50,113,110
1.282,0.282,10.333,0.396,Moments,50,113,120
1.241,0.241,9.333,0.355,Moments,50,113,130
1.128,0.128,9.000,0.346,Moments,58,109,100
1.099,0.132,8.333,0.317,Moments,58,109,110
1.046,0.138,7.667,0.289,Moments,58,109,120
0.999,0.139,8.333,0.314,Moments,58,109,130
1.223,0.223,11.667,0.441,Moments,58,113,100
1.147,0.180,9.667,0.365,Moments,58,113,110
1.098,0.132,9.000,0.341,Moments,58,113,120
1.058,0.149,8.667,0.325,Moments,58,113,130
0.970,0.168,10.333,0.389,Moments,66,109,100
0.897,0.195,11.000,0.414,Moments,66,109,110
0.793,0.207,10.333,0.392,Moments,66,109,120
0.759,0.241,10.667,0.404,Moments,66,109,130
1.068,0.184,11.667,0.440,Moments,66,113,100
0.981,0.180,11.333,0.425,Moments,66,113,110
0.916,0.222,12.333,0.467,Moments,66,113,120
0.845,0.201,11.667,0.444,Moments,66,113,130
0.669,0.331,13.000,0.492,Moments,74,109,100
0.633,0.367,14.000,0.528,Moments,74,109,110
0.506,0.494,15.333,0.586,Moments,74,109,120
0.417,0.583,17.667,0.675,Moments,74,109,130
0.820,0.249,13.667,0.516,Moments,74,113,100
0.737,0.263,14.000,0.528,Moments,74,113,110
0.661,0.339,14.000,0.525,Moments,74,113,120
0.526,0.474,15.667,0.591,Moments,74,113,130
1.447,0.447,16.000,0.608,Otsu,50,109,100
1.350,0.350,13.333,0.510,Otsu,50,109,110
1.305,0.305,12.333,0.466,Otsu,50,109,120
1.234,0.234,11.000,0.417,Otsu,50,109,130
1.582,0.582,19.000,0.718,Otsu,50,113,100
1.461,0.461,15.667,0.596,Otsu,50,113,110
1.362,0.362,13.667,0.522,Otsu,50,113,120
1.281,0.281,12.333,0.464,Otsu,50,113,130
1.186,0.186,10.667,0.405,Otsu,58,109,100
1.128,0.128,9.000,0.346,Otsu,58,109,110
1.063,0.121,8.000,0.306,Otsu,58,109,120
1.010,0.151,8.667,0.325,Otsu,58,109,130
1.334,0.334,14.000,0.527,Otsu,58,113,100
1.245,0.245,12.333,0.463,Otsu,58,113,110
1.138,0.138,10.000,0.381,Otsu,58,113,120
1.069,0.161,9.000,0.337,Otsu,58,113,130
0.981,0.180,10.667,0.400,Otsu,66,109,100
0.946,0.169,11.000,0.413,Otsu,66,109,110
0.845,0.201,11.000,0.420,Otsu,66,109,120
0.782,0.218,10.667,0.404,Otsu,66,109,130
1.114,0.230,13.000,0.486,Otsu,66,113,100
1.004,0.203,12.000,0.448,Otsu,66,113,110
0.964,0.220,12.333,0.466,Otsu,66,113,120
0.904,0.211,12.667,0.479,Otsu,66,113,130
0.669,0.331,13.000,0.492,Otsu,74,109,100
0.633,0.367,14.000,0.528,Otsu,74,109,110
0.557,0.443,15.333,0.581,Otsu,74,109,120
0.428,0.572,18.000,0.687,Otsu,74,109,130
0.832,0.237,13.333,0.504,Otsu,74,113,100
0.760,0.240,14.000,0.528,Otsu,74,113,110
0.689,0.311,14.667,0.553,Otsu,74,113,120
0.537,0.463,16.000,0.602,Otsu,74,113,130
7.880,6.880,189.667,7.071,Triangle,50,109,100
7.007,6.007,166.667,6.198,Triangle,50,109,110
6.184,5.184,144.667,5.376,Triangle,50,109,120
5.708,4.708,132.667,4.925,Triangle,50,109,130
8.560,7.560,206.333,7.752,Triangle,50,113,100
7.656,6.656,182.667,6.848,Triangle,50,113,110
6.879,5.879,161.667,6.071,Triangle,50,113,120
6.205,5.205,144.333,5.397,Triangle,50,113,130
4.660,3.660,102.667,3.831,Triangle,58,109,100
3.886,2.886,82.000,3.056,Triangle,58,109,110
3.216,2.216,65.667,2.437,Triangle,58,109,120
2.939,1.939,59.667,2.207,Triangle,58,109,130
5.263,4.263,117.000,4.434,Triangle,58,113,100
4.491,3.491,97.333,3.662,Triangle,58,113,110
3.849,2.849,81.333,3.045,Triangle,58,113,120
3.412,2.412,70.333,2.632,Triangle,58,113,130
2.459,1.459,49.000,1.854,Triangle,66,109,100
2.153,1.153,43.000,1.620,Triangle,66,109,110
1.747,0.747,34.333,1.272,Triangle,66,109,120
1.581,0.581,30.667,1.129,Triangle,66,109,130
3.104,2.104,64.333,2.451,Triangle,66,113,100
2.632,1.632,53.333,2.027,Triangle,66,113,110
2.261,1.261,45.667,1.738,Triangle,66,113,120
1.972,0.972,39.333,1.497,Triangle,66,113,130
1.467,0.467,33.333,1.240,Triangle,74,109,100
1.183,0.299,27.000,1.005,Triangle,74,109,110
0.978,0.275,24.667,0.919,Triangle,74,109,120
0.742,0.304,23.667,0.895,Triangle,74,109,130
2.115,1.115,46.333,1.762,Triangle,74,113,100
1.682,0.682,38.000,1.425,Triangle,74,113,110
1.444,0.494,33.667,1.259,Triangle,74,113,120
1.085,0.283,29.333,1.101,Triangle,74,113,130
2.766,1.766,49.667,1.856,Intermodes,50,109,100
2.490,1.490,42.333,1.580,Intermodes,50,109,110
2.244,1.244,35.667,1.333,Intermodes,50,109,120
2.080,1.114,32.000,1.195,Intermodes,50,109,130
3.139,2.139,59.667,2.229,Intermodes,50,113,100
2.787,1.787,50.333,1.876,Intermodes,50,113,110
2.614,1.614,45.667,1.704,Intermodes,50,113,120
2.387,1.421,39.667,1.477,Intermodes,50,113,130
1.656,0.723,22.667,0.850,Intermodes,58,109,100
1.423,0.489,16.333,0.616,Intermodes,58,109,110
1.174,0.320,11.000,0.417,Intermodes,58,109,120
1.113,0.282,10.667,0.404,Intermodes,58,109,130
1.895,0.929,29.000,1.089,Intermodes,58,113,100
1.707,0.773,24.000,0.900,Intermodes,58,113,110
1.484,0.551,18.667,0.703,Intermodes,58,113,120
1.309,0.432,14.667,0.552,Intermodes,58,113,130
1.059,0.262,12.667,0.477,Intermodes,66,109,100
0.974,0.199,12.333,0.464,Intermodes,66,109,110
0.872,0.177,11.667,0.444,Intermodes,66,109,120
0.837,0.188,12.000,0.454,Intermodes,66,109,130
1.393,0.493,19.667,0.740,Intermodes,66,113,100
1.182,0.361,16.000,0.600,Intermodes,66,113,110
0.981,0.217,13.333,0.504,Intermodes,66,113,120
0.908,0.166,12.000,0.456,Intermodes,66,113,130
0.805,0.245,16.667,0.635,Intermodes,74,109,100
0.732,0.268,16.000,0.610,Intermodes,74,109,110
0.595,0.405,17.000,0.650,Intermodes,74,109,120
0.440,0.560,17.667,0.683,Intermodes,74,109,130
1.001,0.270,18.000,0.681,Intermodes,74,113,100
0.868,0.206,17.000,0.644,Intermodes,74,113,110
0.760,0.240,17.333,0.654,Intermodes,74,113,120
0.607,0.393,18.667,0.712,Intermodes,74,113,130
