ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10001_1.1_01_ARC1,28,1,5,29,33,-4,4,1.138,0.138,6,0.207,MaxEntropy,50,109,100
10001_1.1_01_ARC1,28,1,4,29,32,-3,3,1.103,0.103,5,0.172,MaxEntropy,50,109,110
10001_1.1_01_ARC1,28,1,3,29,31,-2,2,1.069,0.069,4,0.138,MaxEntropy,50,109,120
10001_1.1_01_ARC1,28,1,2,29,30,-1,1,1.034,0.034,3,0.103,MaxEntropy,50,109,130
10001_1.1_01_ARC1,28,1,5,29,33,-4,4,1.138,0.138,6,0.207,MaxEntropy,50,113,100
10001_1.1_01_ARC1,28,1,5,29,33,-4,4,1.138,0.138,6,0.207,MaxEntropy,50,113,110
10001_1.1_01_ARC1,28,1,5,29,33,-4,4,1.138,0.138,6,0.207,MaxEntropy,50,113,120
10001_1.1_01_ARC1,28,1,4,29,32,-3,3,1.103,0.103,5,0.172,MaxEntropy,50,113,130
10001_1.1_01_ARC1,26,3,4,29,30,-1,1,1.034,0.034,7,0.241,MaxEntropy,58,109,100
10001_1.1_01_ARC1,26,3,3,29,29,0,0,1.000,0.000,6,0.207,MaxEntropy,58,109,110
10001_1.1_01_ARC1,26,3,1,29,27,2,2,0.931,0.069,4,0.138,MaxEntropy,58,109,120
10001_1.1_01_ARC1,25,4,1,29,26,3,3,0.897,0.103,5,0.172,MaxEntropy,58,109,130
10001_1.1_01_ARC1,26,3,4,29,30,-1,1,1.034,0.034,7,0.241,MaxEntropy,58,113,100
10001_1.1_01_ARC1,26,3,4,29,30,-1,1,1.034,0.034,7,0.241,MaxEntropy,58,113,110
10001_1.1_01_ARC1,26,3,3,29,29,0,0,1.000,0.000,6,0.207,MaxEntropy,58,113,120
10001_1.1_01_ARC1,26,3,2,29,28,1,1,0.966,0.034,5,0.172,MaxEntropy,58,113,130
10001_1.1_01_ARC1,22,7,4,29,26,3,3,0.897,0.103,11,0.379,MaxEntropy,66,109,100
10001_1.1_01_ARC1,21,8,4,29,25,4,4,0.862,0.138,12,0.414,MaxEntropy,66,109,110
10001_1.1_01_ARC1,20,9,3,29,23,6,6,0.793,0.207,12,0.414,MaxEntropy,66,109,120
10001_1.1_01_ARC1,18,11,2,29,20,9,9,0.690,0.310,13,0.448,MaxEntropy,66,109,130
10001_1.1_01_ARC1,24,5,6,29,30,-1,1,1.034,0.034,11,0.379,MaxEntropy,66,113,100
10001_1.1_01_ARC1,22,7,5,29,27,2,2,0.931,0.069,12,0.414,MaxEntropy,66,113,110
10001_1.1_01_ARC1,21,8,5,29,26,3,3,0.897,0.103,13,0.448,MaxEntropy,66,113,120
10001_1.1_01_ARC1,21,8,4,29,25,4,4,0.862,0.138,12,0.414,MaxEntropy,66,113,130
10001_1.1_01_ARC1,17,12,2,29,19,10,10,0.655,0.345,14,0.483,MaxEntropy,74,109,100
10001_1.1_01_ARC1,15,14,2,29,17,12,12,0.586,0.414,16,0.552,MaxEntropy,74,109,110
10001_1.1_01_ARC1,13,16,1,29,14,15,15,0.483,0.517,17,0.586,MaxEntropy,74,109,120
10001_1.1_01_ARC1,11,18,0,29,11,18,18,0.379,0.621,18,0.621,MaxEntropy,74,109,130
10001_1.1_01_ARC1,21,8,5,29,26,3,3,0.897,0.103,13,0.448,MaxEntropy,74,113,100
10001_1.1_01_ARC1,18,11,4,29,22,7,7,0.759,0.241,15,0.517,MaxEntropy,74,113,110
10001_1.1_01_ARC1,16,13,3,29,19,10,10,0.655,0.345,16,0.552,MaxEntropy,74,113,120
10001_1.1_01_ARC1,14,15,1,29,15,14,14,0.517,0.483,16,0.552,MaxEntropy,74,113,130
10001_1.1_01_ARC1,29,0,15,29,44,-15,15,1.517,0.517,15,0.517,Moments,50,109,100
10001_1.1_01_ARC1,29,0,13,29,42,-13,13,1.448,0.448,13,0.448,Moments,50,109,110
10001_1.1_01_ARC1,28,1,12,29,40,-11,11,1.379,0.379,13,0.448,Moments,50,109,120
10001_1.1_01_ARC1,28,1,9,29,37,-8,8,1.276,0.276,10,0.345,Moments,50,109,130
10001_1.1_01_ARC1,29,0,21,29,50,-21,21,1.724,0.724,21,0.724,Moments,50,113,100
10001_1.1_01_ARC1,29,0,14,29,43,-14,14,1.483,0.483,14,0.483,Moments,50,113,110
10001_1.1_01_ARC1,28,1,14,29,42,-13,13,1.448,0.448,15,0.517,Moments,50,113,120
10001_1.1_01_ARC1,28,1,13,29,41,-12,12,1.414,0.414,14,0.483,Moments,50,113,130
10001_1.1_01_ARC1,26,3,12,29,38,-9,9,1.310,0.310,15,0.517,Moments,58,109,100
10001_1.1_01_ARC1,26,3,12,29,38,-9,9,1.310,0.310,15,0.517,Moments,58,109,110
10001_1.1_01_ARC1,26,3,11,29,37,-8,8,1.276,0.276,14,0.483,Moments,58,109,120
10001_1.1_01_ARC1,25,4,10,29,35,-6,6,1.207,0.207,14,0.483,Moments,58,109,130
10001_1.1_01_ARC1,26,3,17,29,43,-14,14,1.483,0.483,20,0.690,Moments,58,113,100
10001_1.1_01_ARC1,26,3,14,29,40,-11,11,1.379,0.379,17,0.586,Moments,58,113,110
10001_1.1_01_ARC1,26,3,13,29,39,-10,10,1.345,0.345,16,0.552,Moments,58,113,120
10001_1.1_01_ARC1,26,3,12,29,38,-9,9,1.310,0.310,15,0.517,Moments,58,113,130
10001_1.1_01_ARC1,23,6,12,29,35,-6,6,1.207,0.207,18,0.621,Moments,66,109,100
10001_1.1_01_ARC1,22,7,11,29,33,-4,4,1.138,0.138,18,0.621,Moments,66,109,110
10001_1.1_01_ARC1,22,7,7,29,29,0,0,1.000,0.000,14,0.483,Moments,66,109,120
10001_1.1_01_ARC1,20,9,6,29,26,3,3,0.897,0.103,15,0.517,Moments,66,109,130
10001_1.1_01_ARC1,24,5,16,29,40,-11,11,1.379,0.379,21,0.724,Moments,66,113,100
10001_1.1_01_ARC1,23,6,13,29,36,-7,7,1.241,0.241,19,0.655,Moments,66,113,110
10001_1.1_01_ARC1,23,6,12,29,35,-6,6,1.207,0.207,18,0.621,Moments,66,113,120
10001_1.1_01_ARC1,22,7,9,29,31,-2,2,1.069,0.069,16,0.552,Moments,66,113,130
10001_1.1_01_ARC1,18,11,7,29,25,4,4,0.862,0.138,18,0.621,Moments,74,109,100
10001_1.1_01_ARC1,17,12,7,29,24,5,5,0.828,0.172,19,0.655,Moments,74,109,110
10001_1.1_01_ARC1,14,15,4,29,18,11,11,0.621,0.379,19,0.655,Moments,74,109,120
10001_1.1_01_ARC1,12,17,4,29,16,13,13,0.552,0.448,21,0.724,Moments,74,109,130
10001_1.1_01_ARC1,21,8,11,29,32,-3,3,1.103,0.103,19,0.655,Moments,74,113,100
10001_1.1_01_ARC1,19,10,9,29,28,1,1,0.966,0.034,19,0.655,Moments,74,113,110
10001_1.1_01_ARC1,18,11,7,29,25,4,4,0.862,0.138,18,0.621,Moments,74,113,120
10001_1.1_01_ARC1,15,14,4,29,19,10,10,0.655,0.345,18,0.621,Moments,74,113,130
10001_1.1_01_ARC1,26,3,25,29,51,-22,22,1.759,0.759,28,0.966,Otsu,50,109,100
10001_1.1_01_ARC1,26,3,18,29,44,-15,15,1.517,0.517,21,0.724,Otsu,50,109,110
10001_1.1_01_ARC1,26,3,17,29,43,-14,14,1.483,0.483,20,0.690,Otsu,50,109,120
10001_1.1_01_ARC1,25,4,15,29,40,-11,11,1.379,0.379,19,0.655,Otsu,50,109,130
10001_1.1_01_ARC1,26,3,31,29,57,-28,28,1.966,0.966,34,1.172,Otsu,50,113,100
10001_1.1_01_ARC1,26,3,24,29,50,-21,21,1.724,0.724,27,0.931,Otsu,50,113,110
10001_1.1_01_ARC1,26,3,19,29,45,-16,16,1.552,0.552,22,0.759,Otsu,50,113,120
10001_1.1_01_ARC1,25,4,18,29,43,-14,14,1.483,0.483,22,0.759,Otsu,50,113,130
10001_1.1_01_ARC1,26,3,16,29,42,-13,13,1.448,0.448,19,0.655,Otsu,58,109,100
10001_1.1_01_ARC1,26,3,12,29,38,-9,9,1.310,0.310,15,0.517,Otsu,58,109,110
10001_1.1_01_ARC1,26,3,11,29,37,-8,8,1.276,0.276,14,0.483,Otsu,58,109,120
