Avg Acc,Avg Acc Dif,Avg Errors,Avg Error Rate,Threshold,Lower Hue,Upper Hue,Pixel Size
0.397,0.603,16.000,0.626,MaxEntropy,50,109,100
0.345,0.655,17.333,0.678,MaxEntropy,50,109,110
0.305,0.695,18.333,0.718,MaxEntropy,50,109,120
0.280,0.720,19.000,0.743,MaxEntropy,50,109,130
0.397,0.603,16.000,0.626,MaxEntropy,50,113,100
0.345,0.655,17.333,0.678,MaxEntropy,50,113,110
0.333,0.667,17.667,0.690,MaxEntropy,50,113,120
0.304,0.696,18.333,0.719,MaxEntropy,50,113,130
0.321,0.679,18.000,0.702,MaxEntropy,58,109,100
0.269,0.731,19.333,0.754,MaxEntropy,58,109,110
0.241,0.759,20.000,0.782,MaxEntropy,58,109,120
0.229,0.771,20.333,0.794,MaxEntropy,58,109,130
0.321,0.679,18.000,0.702,MaxEntropy,58,113,100
0.269,0.731,19.333,0.754,MaxEntropy,58,113,110
0.269,0.731,19.333,0.754,MaxEntropy,58,113,120
0.241,0.759,20.000,0.782,MaxEntropy,58,113,130
0.209,0.791,21.000,0.814,MaxEntropy,66,109,100
0.181,0.819,21.667,0.842,MaxEntropy,66,109,110
0.153,0.847,22.333,0.870,MaxEntropy,66,109,120
0.129,0.871,23.000,0.894,MaxEntropy,66,109,130
0.209,0.791,21.000,0.814,MaxEntropy,66,113,100
0.198,0.802,21.333,0.825,MaxEntropy,66,113,110
0.165,0.835,22.000,0.858,MaxEntropy,66,113,120
0.142,0.858,22.667,0.881,MaxEntropy,66,113,130
0.153,0.847,22.333,0.870,MaxEntropy,74,109,100
0.142,0.858,22.667,0.881,MaxEntropy,74,109,110
0.129,0.871,23.000,0.894,MaxEntropy,74,109,120
0.129,0.871,23.000,0.894,MaxEntropy,74,109,130
0.153,0.847,22.333,0.870,MaxEntropy,74,113,100
0.153,0.847,22.333,0.870,MaxEntropy,74,113,110
0.153,0.847,22.333,0.870,MaxEntropy,74,113,120
0.142,0.858,22.667,0.881,MaxEntropy,74,113,130
0.505,0.495,13.333,0.529,Moments,50,109,100
0.488,0.512,13.000,0.512,Moments,50,109,110
0.429,0.571,14.667,0.571,Moments,50,109,120
0.417,0.583,15.000,0.583,Moments,50,109,130
0.552,0.448,13.333,0.529,Moments,50,113,100
0.529,0.471,13.333,0.528,Moments,50,113,110
0.440,0.560,15.000,0.583,Moments,50,113,120
0.440,0.560,15.000,0.583,Moments,50,113,130
0.411,0.589,15.667,0.612,Moments,58,109,100
0.377,0.623,16.667,0.646,Moments,58,109,110
0.365,0.635,17.000,0.658,Moments,58,109,120
0.326,0.674,18.000,0.697,Moments,58,109,130
0.459,0.541,15.667,0.612,Moments,58,113,100
0.401,0.599,16.667,0.645,Moments,58,113,110
0.377,0.623,17.333,0.669,Moments,58,113,120
0.342,0.658,17.667,0.681,Moments,58,113,130
0.243,0.757,20.333,0.780,Moments,66,109,100
0.243,0.757,20.333,0.780,Moments,66,109,110
0.215,0.785,21.000,0.808,Moments,66,109,120
