ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,MaxEntropy,50,109,100
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,50,109,110
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,50,109,120
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,50,109,130
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,MaxEntropy,50,113,100
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,50,113,110
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,50,113,120
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,50,113,130
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,58,109,100
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,58,109,110
10005_1.1_01_ARC1,6,14,0,20,6,14,14,0.300,0.700,14,0.700,MaxEntropy,58,109,120
10005_1.1_01_ARC1,6,14,0,20,6,14,14,0.300,0.700,14,0.700,MaxEntropy,58,109,130
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,58,113,100
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,58,113,110
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,58,113,120
10005_1.1_01_ARC1,6,14,0,20,6,14,14,0.300,0.700,14,0.700,MaxEntropy,58,113,130
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,66,109,100
10005_1.1_01_ARC1,6,14,0,20,6,14,14,0.300,0.700,14,0.700,MaxEntropy,66,109,110
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,66,109,120
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,66,109,130
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,66,113,100
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,66,113,110
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,66,113,120
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,66,113,130
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,109,100
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,109,110
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,109,120
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,109,130
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,113,100
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,113,110
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,113,120
10005_1.1_01_ARC1,5,15,0,20,5,15,15,0.250,0.750,15,0.750,MaxEntropy,74,113,130
10005_1.1_01_ARC1,11,9,1,20,12,8,8,0.600,0.400,10,0.500,Moments,50,109,100
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Moments,50,109,110
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Moments,50,109,120
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Moments,50,109,130
10005_1.1_01_ARC1,11,9,1,20,12,8,8,0.600,0.400,10,0.500,Moments,50,113,100
10005_1.1_01_ARC1,11,9,1,20,12,8,8,0.600,0.400,10,0.500,Moments,50,113,110
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Moments,50,113,120
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Moments,50,113,130
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,109,100
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,109,110
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,109,120
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,Moments,58,109,130
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,113,100
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,113,110
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,113,120
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Moments,58,113,130
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,Moments,66,109,100
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,Moments,66,109,110
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,Moments,66,109,120
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,Moments,66,109,130
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,Moments,66,113,100
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,Moments,66,113,110
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,Moments,66,113,120
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,Moments,66,113,130
10005_1.1_01_ARC1,6,14,0,20,6,14,14,0.300,0.700,14,0.700,Moments,74,109,100
10005_1.1_01_ARC1,6,14,0,20,6,14,14,0.300,0.700,14,0.700,Moments,74,109,110
