Avg Acc,Avg Acc Dif,Avg Errors,Avg Error Rate,Threshold,Lower Hue,Upper Hue,Pixel Size
1.038,0.176,15.333,0.556,MaxEntropy,50,109,100
0.928,0.204,12.333,0.446,MaxEntropy,50,109,110
0.874,0.150,11.000,0.392,MaxEntropy,50,109,120
0.858,0.167,11.333,0.409,MaxEntropy,50,109,130
1.217,0.217,7.000,0.275,MaxEntropy,50,113,100
1.176,0.176,6.000,0.233,MaxEntropy,50,113,110
1.117,0.117,4.667,0.175,MaxEntropy,50,113,120
1.065,0.099,4.667,0.180,MaxEntropy,50,113,130
0.954,0.046,5.000,0.197,MaxEntropy,58,109,100
0.938,0.062,4.667,0.181,MaxEntropy,58,109,110
0.925,0.075,4.333,0.168,MaxEntropy,58,109,120
0.889,0.111,4.667,0.181,MaxEntropy,58,109,130
0.990,0.056,6.000,0.233,MaxEntropy,58,113,100
0.977,0.069,5.667,0.220,MaxEntropy,58,113,110
0.938,0.062,4.667,0.181,MaxEntropy,58,113,120
0.914,0.086,4.667,0.181,MaxEntropy,58,113,130
0.847,0.153,7.000,0.270,MaxEntropy,66,109,100
0.799,0.201,7.667,0.294,MaxEntropy,66,109,110
0.764,0.236,8.000,0.305,MaxEntropy,66,109,120
0.717,0.283,8.667,0.329,MaxEntropy,66,109,130
0.918,0.174,7.667,0.293,MaxEntropy,66,113,100
0.847,0.153,7.667,0.294,MaxEntropy,66,113,110
0.811,0.189,7.333,0.283,MaxEntropy,66,113,120
0.763,0.237,8.000,0.306,MaxEntropy,66,113,130
0.705,0.295,10.000,0.387,MaxEntropy,74,109,100
0.600,0.400,12.333,0.469,MaxEntropy,74,109,110
0.543,0.457,13.000,0.503,MaxEntropy,74,109,120
0.419,0.581,15.000,0.581,MaxEntropy,74,109,130
0.757,0.243,10.000,0.383,MaxEntropy,74,113,100
0.675,0.325,11.667,0.442,MaxEntropy,74,113,110
0.605,0.395,12.667,0.487,MaxEntropy,74,113,120
0.529,0.471,13.333,0.517,MaxEntropy,74,113,130
1.356,0.356,9.667,0.380,Moments,50,109,100
1.240,0.240,7.667,0.298,Moments,50,109,110
1.183,0.183,6.333,0.241,Moments,50,109,120
1.142,0.142,5.333,0.200,Moments,50,109,130
1.420,0.420,10.667,0.420,Moments,50,113,100
1.293,0.293,9.000,0.351,Moments,50,113,110
1.257,0.257,8.000,0.314,Moments,50,113,120
1.183,0.183,6.333,0.241,Moments,50,113,130
1.088,0.122,6.000,0.236,Moments,58,109,100
1.036,0.102,5.333,0.208,Moments,58,109,110
1.024,0.091,5.000,0.196,Moments,58,109,120
0.984,0.084,4.667,0.180,Moments,58,109,130
1.149,0.182,7.667,0.296,Moments,58,113,100
1.088,0.122,6.667,0.261,Moments,58,113,110
1.047,0.114,5.667,0.219,Moments,58,113,120
1.007,0.107,5.333,0.203,Moments,58,113,130
0.971,0.121,7.000,0.272,Moments,66,109,100
0.881,0.188,8.000,0.306,Moments,66,109,110
0.812,0.188,8.000,0.305,Moments,66,109,120
0.787,0.213,8.667,0.330,Moments,66,109,130
1.011,0.127,8.000,0.312,Moments,66,113,100
0.970,0.168,8.333,0.320,Moments,66,113,110
0.893,0.199,9.000,0.340,Moments,66,113,120
0.822,0.178,9.000,0.342,Moments,66,113,130
0.758,0.242,10.667,0.407,Moments,74,109,100
0.646,0.354,11.667,0.446,Moments,74,109,110
0.599,0.401,13.000,0.493,Moments,74,109,120
0.488,0.512,14.000,0.535,Moments,74,109,130
0.821,0.225,11.667,0.446,Moments,74,113,100
0.733,0.267,12.000,0.454,Moments,74,113,110
0.697,0.303,12.333,0.466,Moments,74,113,120
0.592,0.408,14.333,0.548,Moments,74,113,130
1.421,0.421,11.333,0.446,Otsu,50,109,100
1.331,0.331,10.000,0.389,Otsu,50,109,110
1.248,0.248,8.000,0.306,Otsu,50,109,120
1.207,0.207,7.000,0.264,Otsu,50,109,130
1.519,0.519,13.333,0.519,Otsu,50,113,100
1.390,0.390,11.000,0.423,Otsu,50,113,110
1.329,0.329,9.333,0.362,Otsu,50,113,120
1.281,0.281,8.667,0.339,Otsu,50,113,130
1.166,0.166,8.000,0.314,Otsu,58,109,100
1.096,0.162,6.333,0.243,Otsu,58,109,110
1.060,0.127,6.000,0.233,Otsu,58,109,120
1.036,0.103,6.000,0.232,Otsu,58,109,130
1.254,0.254,9.667,0.377,Otsu,58,113,100
1.149,0.183,7.667,0.297,Otsu,58,113,110
1.100,0.133,7.000,0.272,Otsu,58,113,120
1.072,0.138,7.000,0.267,Otsu,58,113,130
1.046,0.138,9.000,0.347,Otsu,66,109,100
0.946,0.169,8.333,0.321,Otsu,66,109,110
0.871,0.152,8.333,0.316,Otsu,66,109,120
0.811,0.189,8.667,0.329,Otsu,66,109,130
1.046,0.138,9.000,0.347,Otsu,66,113,100
1.010,0.151,9.333,0.360,Otsu,66,113,110
0.942,0.150,8.333,0.316,Otsu,66,113,120
0.882,0.164,8.667,0.328,Otsu,66,113,130
0.769,0.231,11.000,0.418,Otsu,74,109,100
0.694,0.306,13.000,0.494,Otsu,74,109,110
0.658,0.342,13.333,0.506,Otsu,74,109,120
0.539,0.461,14.667,0.553,Otsu,74,109,130
0.857,0.212,11.333,0.433,Otsu,74,113,100
0.756,0.244,12.667,0.477,Otsu,74,113,110
0.721,0.279,12.333,0.467,Otsu,74,113,120
0.632,0.368,14.000,0.531,Otsu,74,113,130
2.531,1.531,41.667,1.600,Triangle,50,109,100
2.253,1.253,34.333,1.323,Triangle,50,109,110
2.156,1.156,31.667,1.225,Triangle,50,109,120
1.902,0.902,25.000,0.971,Triangle,50,109,130
2.856,1.856,49.667,1.925,Triangle,50,113,100
2.523,1.523,41.000,1.592,Triangle,50,113,110
2.305,1.305,35.667,1.374,Triangle,50,113,120
2.207,1.207,33.000,1.276,Triangle,50,113,130
1.823,0.823,24.333,0.946,Triangle,58,109,100
1.662,0.662,20.333,0.784,Triangle,58,109,110
1.482,0.482,16.333,0.629,Triangle,58,109,120
1.400,0.400,14.000,0.548,Triangle,58,109,130
2.074,1.074,30.667,1.197,Triangle,58,113,100
1.966,0.966,28.000,1.089,Triangle,58,113,110
1.775,0.775,23.333,0.897,Triangle,58,113,120
1.625,0.625,19.333,0.747,Triangle,58,113,130
1.445,0.445,18.000,0.688,Triangle,66,109,100
1.281,0.281,15.667,0.606,Triangle,66,109,110
1.153,0.202,15.000,0.574,Triangle,66,109,120
1.076,0.200,13.667,0.522,Triangle,66,109,130
1.702,0.702,24.667,0.945,Triangle,66,113,100
1.565,0.565,22.667,0.866,Triangle,66,113,110
1.454,0.454,21.000,0.802,Triangle,66,113,120
1.308,0.308,18.333,0.704,Triangle,66,113,130
1.071,0.228,17.667,0.670,Triangle,74,109,100
0.939,0.153,16.000,0.607,Triangle,74,109,110
0.814,0.186,14.667,0.557,Triangle,74,109,120
0.684,0.316,15.667,0.594,Triangle,74,109,130
1.403,0.403,24.667,0.930,Triangle,74,113,100
1.237,0.336,22.000,0.834,Triangle,74,113,110
1.080,0.253,19.667,0.751,Triangle,74,113,120
0.967,0.263,20.000,0.760,Triangle,74,113,130
1.060,0.060,5.000,0.197,Intermodes,50,109,100
0.966,0.057,5.333,0.209,Intermodes,50,109,110
0.901,0.099,3.667,0.144,Intermodes,50,109,120
0.838,0.162,5.333,0.208,Intermodes,50,109,130
1.124,0.124,5.333,0.205,Intermodes,50,113,100
0.994,0.052,4.667,0.181,Intermodes,50,113,110
0.941,0.082,3.333,0.128,Intermodes,50,113,120
0.861,0.139,4.667,0.185,Intermodes,50,113,130
0.886,0.114,4.667,0.185,Intermodes,58,109,100
0.809,0.191,5.333,0.214,Intermodes,58,109,110
0.797,0.203,5.000,0.202,Intermodes,58,109,120
0.738,0.262,6.667,0.262,Intermodes,58,109,130
0.938,0.062,4.667,0.181,Intermodes,58,113,100
0.872,0.128,4.333,0.173,Intermodes,58,113,110
0.833,0.167,4.000,0.167,Intermodes,58,113,120
0.797,0.203,5.000,0.203,Intermodes,58,113,130
0.748,0.252,7.667,0.298,Intermodes,66,109,100
0.696,0.304,9.000,0.350,Intermodes,66,109,110
