Avg Acc,Avg Acc Dif,Avg Errors,Avg Error Rate,Threshold,Lower Hue,Upper Hue,Pixel Size,Processing_Method
0.995,0.028,5.333,0.213,MaxEntropy,58,113,100,Gamma
1.035,0.035,3.667,0.15,MaxEntropy,50,109,120,Gamma
1.007,0.041,3,0.121,MaxEntropy,50,109,130,Gamma
1.008,0.041,38.333,1.47,Triangle,74,113,100,Minimum
0.978,0.045,5,0.196,MaxEntropy,58,113,110,Gamma
0.954,0.046,5,0.197,MaxEntropy,58,109,100,Raw
1.022,0.047,10,0.385,Otsu,58,109,110,GMA
1.047,0.047,34,1.29,Triangle,66,109,100,Minimum
0.994,0.052,4.667,0.181,Intermodes,50,113,110,Raw
0.99,0.056,6,0.233,MaxEntropy,58,113,100,Raw
0.966,0.057,4.667,0.184,MaxEntropy,58,109,100,Gamma
0.966,0.057,5.333,0.209,Intermodes,50,109,110,Raw
0.942,0.058,4.667,0.185,MaxEntropy,58,109,110,Gamma
0.942,0.058,5.333,0.21,MaxEntropy,58,113,120,Gamma
1.059,0.059,4.333,0.173,MaxEntropy,50,109,110,Gamma
0.94,0.06,33,1.264,Triangle,66,113,120,Minimum
1.06,0.06,5,0.197,Intermodes,50,109,100,Raw
0.938,0.062,4.667,0.181,MaxEntropy,58,109,110,Raw
0.938,0.062,4.667,0.181,MaxEntropy,58,113,120,Raw
0.938,0.062,4.667,0.181,Intermodes,58,113,100,Raw
1.005,0.063,9,0.344,Moments,58,109,100,GMA
0.977,0.069,5.667,0.22,MaxEntropy,58,113,110,Raw
1.071,0.071,10.667,0.409,Moments,58,113,100,GMA
0.925,0.075,4.333,0.168,MaxEntropy,58,109,120,Raw
1.043,0.076,4,0.157,MaxEntropy,50,113,130,Gamma
0.989,0.08,9.333,0.352,Otsu,58,109,120,GMA
0.941,0.082,3.333,0.128,Intermodes,50,113,120,Raw
1.083,0.083,5,0.197,MaxEntropy,50,113,120,Gamma
0.984,0.084,4.667,0.18,Moments,58,109,130,Raw
0.914,0.086,4.667,0.181,MaxEntropy,58,113,130,Raw
1.024,0.091,5,0.196,Moments,58,109,120,Raw
1.093,0.093,6.667,0.256,Moments,50,109,130,GMA
1.095,0.095,5.333,0.21,MaxEntropy,50,113,110,Gamma
1.065,0.099,4.667,0.18,MaxEntropy,50,113,130,Raw
0.901,0.099,3.667,0.144,Intermodes,50,109,120,Raw
0.968,0.101,10,0.381,Moments,58,113,110,GMA
0.898,0.102,32,1.222,Triangle,66,109,110,Minimum
1.036,0.102,5.333,0.208,Moments,58,109,110,Raw
1.036,0.103,6,0.232,Otsu,58,109,130,Raw
1.105,0.105,11.667,0.443,Otsu,58,109,100,GMA
1.105,0.105,36,1.382,Triangle,66,113,110,Minimum
1.007,0.107,5.333,0.203,Moments,58,113,130,Raw
1.076,0.109,11.667,0.439,Otsu,58,113,120,GMA
0.889,0.111,5.333,0.206,MaxEntropy,58,113,130,Gamma
0.889,0.111,4.667,0.181,MaxEntropy,58,109,130,Raw
1.112,0.112,5.667,0.226,MaxEntropy,50,109,100,Gamma
1.047,0.114,5.667,0.219,Moments,58,113,120,Raw
0.886,0.114,4.667,0.185,Intermodes,58,109,100,Raw
0.976,0.116,11.667,0.444,Otsu,58,113,130,GMA
1.117,0.117,4.667,0.175,MaxEntropy,50,113,120,Raw
0.928,0.118,11,0.421,Moments,58,113,120,GMA
1.063,0.121,8,0.306,Otsu,58,109,120,Gamma
0.971,0.121,7,0.272,Moments,66,109,100,Raw
1.088,0.122,6,0.236,Moments,58,109,100,Raw
1.088,0.122,6.667,0.261,Moments,58,113,110,Raw
1.124,0.124,5.333,0.205,Intermodes,50,113,100,Raw
1.011,0.127,8,0.312,Moments,66,113,100,Raw
1.06,0.127,6,0.233,Otsu,58,109,120,Raw
1.128,0.128,9,0.346,Moments,58,109,100,Gamma
1.128,0.128,9,0.346,Otsu,58,109,110,Gamma
0.872,0.128,4.333,0.173,Intermodes,58,113,110,Raw
1.129,0.129,6,0.243,MaxEntropy,50,113,100,Gamma
0.939,0.13,9.333,0.352,Moments,58,109,110,GMA
1.132,0.132,13,0.495,Otsu,58,113,110,GMA
1.099,0.132,8.333,0.317,Moments,58,109,110,Gamma
1.098,0.132,9,0.341,Moments,58,113,120,Gamma
1.1,0.133,7,0.272,Otsu,58,113,120,Raw
1.134,0.134,7,0.273,Moments,50,109,120,GMA
0.865,0.135,4.667,0.182,MaxEntropy,58,109,120,Gamma
0.887,0.136,8.667,0.333,MaxEntropy,66,113,100,Gamma
1.138,0.138,7.667,0.302,Moments,50,113,130,GMA
1.046,0.138,7.667,0.289,Moments,58,109,120,Gamma
1.138,0.138,10,0.381,Otsu,58,113,120,Gamma
1.072,0.138,7,0.267,Otsu,58,113,130,Raw
1.046,0.138,9,0.347,Otsu,66,109,100,Raw
1.046,0.138,9,0.347,Otsu,66,113,100,Raw
0.907,0.139,10,0.376,Otsu,58,109,130,GMA
0.999,0.139,8.333,0.314,Moments,58,109,130,Gamma
0.861,0.139,4.667,0.185,Intermodes,50,113,130,Raw
1.142,0.142,5.333,0.2,Moments,50,109,130,Raw
1.058,0.149,8.667,0.325,Moments,58,113,130,Gamma
0.874,0.15,11,0.392,MaxEntropy,50,109,120,Raw
0.942,0.15,8.333,0.316,Otsu,66,113,120,Raw
1.01,0.151,8.667,0.325,Otsu,58,109,130,Gamma
1.01,0.151,9.333,0.36,Otsu,66,113,110,Raw
0.848,0.152,6.333,0.254,MaxEntropy,50,113,100,GMA
0.871,0.152,8.333,0.316,Otsu,66,109,120,Raw
0.847,0.153,7,0.27,MaxEntropy,66,109,100,Raw
0.847,0.153,7.667,0.294,MaxEntropy,66,113,110,Raw
0.939,0.153,16,0.607,Triangle,74,109,110,Raw
1.154,0.154,7,0.268,Moments,50,109,130,Gamma
0.842,0.158,35.333,1.353,Triangle,74,113,110,Minimum
0.841,0.159,5.333,0.206,MaxEntropy,58,109,130,Gamma
1.069,0.161,9,0.337,Otsu,58,113,130,Gamma
0.838,0.162,6,0.243,Intermodes,50,113,100,GMA
1.096,0.162,6.333,0.243,Otsu,58,109,110,Raw
0.838,0.162,5.333,0.208,Intermodes,50,109,130,Raw
0.882,0.164,8.667,0.328,Otsu,66,113,130,Raw
0.858,0.165,10,0.385,Moments,58,113,130,GMA
0.926,0.166,17.667,0.667,Otsu,66,113,100,GMA
0.908,0.166,12,0.456,Intermodes,66,113,130,Gamma
1.166,0.166,8,0.314,Otsu,58,109,100,Raw
0.858,0.167,11.333,0.409,MaxEntropy,50,109,130,Raw
0.833,0.167,4,0.167,Intermodes,58,113,120,Raw
0.97,0.168,10.333,0.389,Moments,66,109,100,Gamma
0.97,0.168,8.333,0.32,Moments,66,113,110,Raw
0.946,0.169,11,0.413,Otsu,66,109,110,Gamma
0.923,0.169,27.333,1.052,Triangle,58,109,130,Minimum
0.946,0.169,8.333,0.321,Otsu,66,109,110,Raw
0.918,0.174,7.667,0.293,MaxEntropy,66,113,100,Raw
0.87,0.176,9.667,0.363,Moments,58,109,120,GMA
1.038,0.176,15.333,0.556,MaxEntropy,50,109,100,Raw
1.176,0.176,6,0.233,MaxEntropy,50,113,110,Raw
0.824,0.176,7,0.27,Intermodes,66,113,100,Raw
0.872,0.177,11.667,0.444,Intermodes,66,109,120,Gamma
0.822,0.178,9,0.342,Moments,66,113,130,Raw
1.147,0.18,9.667,0.365,Moments,58,113,110,Gamma
0.981,0.18,11.333,0.425,Moments,66,113,110,Gamma
0.981,0.18,10.667,0.4,Otsu,66,109,100,Gamma
1.149,0.182,7.667,0.296,Moments,58,113,100,Raw
1.183,0.183,6.333,0.241,Moments,50,109,120,Raw
1.183,0.183,6.333,0.241,Moments,50,113,130,Raw
1.149,0.183,7.667,0.297,Otsu,58,113,110,Raw
1.068,0.184,11.667,0.44,Moments,66,113,100,Gamma
1.011,0.184,28.333,1.093,Triangle,58,113,130,Minimum
1.186,0.186,10.667,0.405,Otsu,58,109,100,Gamma
0.814,0.186,14.667,0.557,Triangle,74,109,120,Raw
0.813,0.187,6,0.243,MaxEntropy,50,113,110,GMA
0.813,0.187,6,0.243,Intermodes,50,113,110,GMA
1.188,0.188,8.333,0.327,Moments,50,113,120,GMA
0.812,0.188,8,0.304,MaxEntropy,66,109,100,Gamma
0.812,0.188,9.333,0.353,MaxEntropy,66,113,110,Gamma
0.837,0.188,12,0.454,Intermodes,66,109,130,Gamma
0.881,0.188,8,0.306,Moments,66,109,110,Raw
0.812,0.188,8,0.305,Moments,66,109,120,Raw
0.811,0.189,7.333,0.283,MaxEntropy,66,113,120,Raw
0.811,0.189,8.667,0.329,Otsu,66,109,130,Raw
0.809,0.191,35.333,1.343,Triangle,74,109,100,Minimum
0.809,0.191,5.333,0.214,Intermodes,58,109,110,Raw
0.808,0.192,6,0.238,MaxEntropy,50,109,100,GMA
0.897,0.195,11,0.414,Moments,66,109,110,Gamma
0.803,0.197,15.667,0.593,Moments,66,113,100,GMA
1.197,0.197,37.667,1.441,Triangle,66,113,100,Minimum
0.974,0.199,12.333,0.464,Intermodes,66,109,110,Gamma
0.893,0.199,9,0.34,Moments,66,113,120,Raw
1.076,0.2,13.667,0.522,Triangle,66,109,130,Raw
0.845,0.201,11.667,0.444,Moments,66,113,130,Gamma
0.845,0.201,11,0.42,Otsu,66,109,120,Gamma
0.799,0.201,7.667,0.294,MaxEntropy,66,109,110,Raw
0.798,0.202,15,0.564,Otsu,66,109,100,GMA
1.153,0.202,15,0.574,Triangle,66,109,120,Raw
1.004,0.203,12,0.448,Otsu,66,113,110,Gamma
0.797,0.203,5,0.202,Intermodes,58,109,120,Raw
0.797,0.203,5,0.203,Intermodes,58,113,130,Raw
0.928,0.204,12.333,0.446,MaxEntropy,50,109,110,Raw
